url,label
https://google.com,Legitimate
https://youtube.com,Legitimate
https://facebook.com,Legitimate
https://wikipedia.org,Legitimate
https://github.com,Legitimate
https://stackoverflow.com,Legitimate
https://amazon.com,Legitimate
https://twitter.com,Legitimate
https://instagram.com,Legitimate
https://linkedin.com,Legitimate
https://google.com/about,Legitimate
https://youtube.com/watch,Legitimate
https://facebook.com/login,Legitimate
https://wikipedia.org/wiki,Legitimate
https://github.com/explore,Legitimate
https://stackoverflow.com/questions,Legitimate
https://amazon.com/dp,Legitimate
https://twitter.com/home,Legitimate
https://instagram.com/explore,Legitimate
https://linkedin.com/in,Legitimate
https://google.com/search?q=test,Legitimate
https://youtube.com/results?search_query=music,Legitimate
https://facebook.com/groups,Legitimate
https://wikipedia.org/search,Legitimate
https://github.com/search,Legitimate
https://adservice.google.com,Ad
https://pagead2.googlesyndication.com,Ad
https://doubleclick.net,Ad
https://googlesyndication.com,Ad
https://googleads.g.doubleclick.net,Ad
https://adsystem.com,Ad
https://adserver.com,Ad
https://advertising.com,Ad
https://banners.com,Ad
https://popads.net,Ad
https://google-analytics.com,Tracker
https://facebook-pixel.com,Tracker
https://connect.facebook.net,Tracker
https://analytics.twitter.com,Tracker
https://tracker.example.com,Tracker
https://stats.example.com,Tracker
https://pixel.example.com,Tracker
https://click.example.com,Tracker
https://tracking.example.com,Tracker
https://beacon.example.com,Tracker
https://malicious-site.com,Malware
https://evil-domain.xyz,Malware
https://virus-download.com,Malware
https://exploit-kit.net,Malware
https://malware-server.org,Malware
https://bad-actor.com,Malware
https://hack-tool.net,Malware
https://ransomware-site.com,Malware
https://spyware-download.com,Malware
https://trojan-host.com,Malware
https://phishing-bank.com,Phishing
https://fake-paypal.com,Phishing
https://login-secure-verify.net,Phishing
https://account-update-site.com,Phishing
https://secure-login-page.xyz,Phishing
https://verify-your-account.net,Phishing
https://bank-of-america-secure.com,Phishing
https://paypal-verify.com,Phishing
https://apple-id-login.com,Phishing
https://netflix-verify.com,Phishing
https://google-analytics.com,Analytics
https://mixpanel.com,Analytics
https://amplitude.com,Analytics
https://heap.io,Analytics
https://segment.com,Analytics
https://hotjar.com,Analytics
https://fullstory.com,Analytics
https://chartbeat.com,Analytics
https://quantcast.com,Analytics
https://comscore.com,Analytics
